Scope 1,,,,
,,,,
Mobile Combustion,,,,
Fuel,Emission Factor,Unit,Activity Unit,Source
Diesel (Ireland),2.67,kg CO₂e/litre,litre,SEAI Emission Factors
Petrol (Ireland),2.31,kg CO₂e/litre,litre,SEAI Emission Factors
CNG,2575.46441,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,0.45070,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.20270,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.18296,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Diesel (average biofuel blend),3087.94462,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,2.57082,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.25953,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.24411,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Diesel (100% mineral diesel),3203.91143,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,2.66155,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.26808,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.25199,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Petrol (average biofuel blend),2772.97935,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,2.06916,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.23181,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.21956,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Petrol (100% mineral petrol),3154.08213,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,2.33984,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.25431,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.24159,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Aviation spirit,3193.69480,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,2.33116,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.25666,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.24382,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Aviation turbine fuel,3178.36520,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,2.54269,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.26061,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.24758,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
,,,,
Bioethanol,0.00901,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.42339,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.01135,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Biodiesel ME,0.16751,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,5.05961,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.18822,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Biomethane (compressed),n/a,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.10625,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.00521,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Biodiesel ME (from used cooking oil),0.16751,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,5.05961,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.18822,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Biodiesel ME (from tallow),0.16751,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,5.05961,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.18822,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Biodiesel HVO,0.03558,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,1.03677,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.04562,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Biopropane,0.00213,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.08952,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.00415,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Development diesel,0.03705,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,1.03677,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.04461,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Development petrol,0.01402,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.42339,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.01890,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Off road biodiesel,0.16751,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,5.05961,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.18822,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Biomethane (liquified),n/a,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.10625,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.00521,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Methanol (bio),0.00669,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.42339,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.00844,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Avtur (renewable),0.02531,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.72340,kg CO₂e/GJ,GJ,UK Gov GHG Conversion Factors 2025
,0.03179,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
,,,,
,,,,
Delivery Vehicles,Emission Factor,Unit,Activity Unit,Source
Van Class I (up to 1.305 tonnes) diesel,0.15738,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.25329,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Van Class I (up to 1.305 tonnes) petrol,0.20188,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.32490,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Van Class I (up to 1.305 tonnes) BEV,0.000000,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.000000,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Van Class II (1.305-1.74  tonnes) diesel,0.19260,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.30996,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Van Class II (1.305-1.74  tonnes) petrol,0.20874,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.33594,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Van Class II (1.305-1.74  tonnes) BEV,0.000000,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.000000,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Van Class III (1.74-3.5  tonnes) diesel,0.27878,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.44866,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
Van Class III (1.74-3.5  tonnes) petrol,0.33845,kg CO₂e/km,km,UK Gov GHG Conversion Factors 2025
,0.54468,kg CO₂e/mile,mile ,UK Gov GHG Conversion Factors 2025
